@context,@type,name,image,url,price,bedrooms,bathrooms,size,property_type,address.@type,address.streetAddress,address.addressLocality,address.postalCode,address.addressRegion,geo.@type,geo.name,geo.latitude,geo.longitude
http://schema.org,SingleFamilyResidence,"108 W Cordova St #1508, Vancouver, BC V6B 0G5",https://static.ojohosts.ca/p/1007/R2852617_0_ImjUNI_p.jpeg,https://www.houseful.ca/vancouver-bc/108-w-cordova-st-1508-vancouver-bc-v6b-0g5/pid_zpa0f701xy/,"$575,000",1,1,581,Single family,PostalAddress,108 W Cordova St #1508,Vancouver,V6B 0G5,BC,GeoCoordinates,"108 W Cordova St #1508, Vancouver, BC V6B 0G5",49.282757,-123.107203
http://schema.org,SingleFamilyResidence,"3783 West 27th Avenue, Vancouver, BC V6S 1R2",https://static.ojohosts.ca/p/1007/R2852621_0_rrVMEZ_p.jpeg,https://www.houseful.ca/vancouver-bc/3783-west-27th-avenue-vancouver-bc-v6s-1r2/pid_547taqjihu/,"$3,350,000",5,5,"2,506",Single family,PostalAddress,3783 West 27th Avenue,Vancouver,V6S 1R2,BC,GeoCoordinates,"3783 West 27th Avenue, Vancouver, BC V6S 1R2",49.248319,-123.187735
http://schema.org,SingleFamilyResidence,"Cooper's Mews Unit 180, Vancouver, BC V6Z 3A2",https://static.ojohosts.ca/p/1007/R2852628_0_aEnZem_p.jpeg,https://www.houseful.ca/vancouver-bc/coopers-mews-unit-180-vancouver-bc-v6z-3a2/pid_l4oc9tu6yy/,"$635,000",1,1,560,Single family,PostalAddress,Cooper's Mews Unit 180,Vancouver,V6Z 3A2,BC,GeoCoordinates,"Cooper's Mews Unit 180, Vancouver, BC V6Z 3A2",0.0,0.0
http://schema.org,SingleFamilyResidence,"5425 Yew St #503, Vancouver, BC V6M 3X7",https://static.ojohosts.ca/p/1007/R2852630_0_rjeIBU_p.jpeg,https://www.houseful.ca/vancouver-bc/5425-yew-st-503-vancouver-bc-v6m-3x7/pid_x7qzfbw4co/,"$1,249,000",2,2,"1,278",Single family,PostalAddress,5425 Yew St #503,Vancouver,V6M 3X7,BC,GeoCoordinates,"5425 Yew St #503, Vancouver, BC V6M 3X7",49.237152,-123.158827
http://schema.org,SingleFamilyResidence,"3725 West 26th Avenue, Vancouver, BC V6S 1P2",https://static.ojohosts.ca/p/1007/R2852593_0_vYfmru_p.jpeg,https://www.houseful.ca/vancouver-bc/3725-west-26th-avenue-vancouver-bc-v6s-1p2/pid_k1bqeyj472/,"$6,490,000",5,6,"3,822",Single family,PostalAddress,3725 West 26th Avenue,Vancouver,V6S 1P2,BC,GeoCoordinates,"3725 West 26th Avenue, Vancouver, BC V6S 1P2",49.249297,-123.187005
http://schema.org,SingleFamilyResidence,"1850 Comox St #2202, Vancouver, BC V6G 1R3",https://static.ojohosts.ca/p/1007/R2852578_0_3zF7VR_p.jpeg,https://www.houseful.ca/vancouver-bc/1850-comox-st-2202-vancouver-bc-v6g-1r3/pid_9nyexqwrsa/,"$360,000",1,1,600,Single family,PostalAddress,1850 Comox St #2202,Vancouver,V6G 1R3,BC,GeoCoordinates,"1850 Comox St #2202, Vancouver, BC V6G 1R3",49.289054,-123.140905
http://schema.org,SingleFamilyResidence,"4412 West 4th Avenue, Vancouver, BC V6R 1P9",https://static.ojohosts.ca/p/1007/R2852604_0_U77AYU_p.jpeg,https://www.houseful.ca/vancouver-bc/4412-west-4th-avenue-vancouver-bc-v6r-1p9/pid_ujchl560jt/,"$4,188,000",3,1,"2,172",Single family,PostalAddress,4412 West 4th Avenue,Vancouver,V6R 1P9,BC,GeoCoordinates,"4412 West 4th Avenue, Vancouver, BC V6R 1P9",49.268773,-123.206289
http://schema.org,SingleFamilyResidence,"323 Jervis St #607, Vancouver, BC V6C 3P8",https://static.ojohosts.ca/p/1007/R2852565_0_y2jza6_p.jpeg,https://www.houseful.ca/vancouver-bc/323-jervis-st-607-vancouver-bc-v6c-3p8/pid_o6wffkm4zy/,"$2,550,000",2,2,"1,235",Single family,PostalAddress,323 Jervis St #607,Vancouver,V6C 3P8,BC,GeoCoordinates,"323 Jervis St #607, Vancouver, BC V6C 3P8",49.290605,-123.123917
http://schema.org,SingleFamilyResidence,"810 Hawks Avenue, Vancouver, BC V6A 3J4",https://static.ojohosts.ca/p/1007/R2852594_0_z7zznq_p.jpeg,https://www.houseful.ca/vancouver-bc/810-hawks-avenue-vancouver-bc-v6a-3j4/pid_1clllo6eu2/,"$1,180,000",2,2,"1,233",Single family,PostalAddress,810 Hawks Avenue,Vancouver,V6A 3J4,BC,GeoCoordinates,"810 Hawks Avenue, Vancouver, BC V6A 3J4",49.277124,-123.087205
http://schema.org,SingleFamilyResidence,"528 W King Edward Ave #206, Vancouver, BC V5Z 2C3",https://static.ojohosts.ca/p/1007/R2852557_0_EEzF2A_p.jpeg,https://www.houseful.ca/vancouver-bc/528-w-king-edward-ave-206-vancouver-bc-v5z-2c3/pid_sqd3h0bwey/,"$858,000",1,1,632,Single family,PostalAddress,528 W King Edward Ave #206,Vancouver,V5Z 2C3,BC,GeoCoordinates,"528 W King Edward Ave #206, Vancouver, BC V5Z 2C3",49.248794,-123.116684
http://schema.org,SingleFamilyResidence,"550 Taylor St #901, Vancouver, BC V6B 1R1",https://static.ojohosts.ca/p/1007/R2852598_0_eqMyzv_p.jpeg,https://www.houseful.ca/vancouver-bc/550-taylor-st-901-vancouver-bc-v6b-1r1/pid_v37etkd27x/,"$599,000",1,1,571,Single family,PostalAddress,550 Taylor St #901,Vancouver,V6B 1R1,BC,GeoCoordinates,"550 Taylor St #901, Vancouver, BC V6B 1R1",49.279811,-123.105642
